rank,university,city,field,branch,acceptance_rate,funding
1,University of the Philippines Diliman,Quezon,Overall,Overall,12,"Public-private
partnership"
2,De La Salle University,Manila,Overall,Overall,35,Private
3,Ateneo de Manila University,Quezon,Overall,Overall,42,Private
4,University of Santo Tomas,Manila,Overall,Overall,90,Private
5,University of the Philippines Los Banos,Los Banos,Overall,Overall,15,"Public-private
partnership"
6,University of the Philippines Manila,Manila,Overall,Overall,51,"Public-private
partnership"
7,University of San Carlos,Cebu,Overall,Overall,61,Private
8,Mapua University,Manila,Overall,Overall,78,Private
9,Mindanao State University,Marawi,Overall,Overall,53,"Public-private
partnership"
10,Asian Institute of Management,Makati,Overall,Overall,60,Private
11,University of the Philippines in the Visayas,Iloilo,Overall,Overall,12,"Public-private
partnership"
12,Visayas State University,Baybay,Overall,Overall,82,"Public-private
partnership"
13,Silliman University,Dumaguete City,Overall,Overall,64,Private
14,Polytechnic University of the Philippines,Manila,Overall,Overall,40,"Public-private
partnership"
15,Adamson University,Manila,Overall,Overall,61,Private
16,Central Luzon State University,Science City of Munoz,Overall,Overall,67,"Public-private
partnership"
17,De La Salle - College of Saint Benilde,Manila,Overall,Overall,67,Private
18,University of Asia and the Pacific,Pasig,Overall,Overall,74,Private
19,Lyceum of the Philippines University,Manila,Overall,Overall,82,Private
20,University of the East - Philippines,Manila,Overall,Overall,70,Private
21,University of Mindanao,Davao,Overall,Overall,92,Private
22,Bulacan State University,Malolos,Overall,Overall,52,"Public-private
partnership"
23,Philippine Normal University,Manila,Overall,Overall,50,"Public-private
partnership"
24,Ateneo de Davao University,Davao,Overall,Overall,50,Private
25,Far Eastern University in Philippines,Manila,Overall,Overall,74,Private
26,University of the City of Manila,Manila,Overall,Overall,13,"Public-private
partnership"
27,Don Bosco Technical College,Mandaluyong,Overall,Overall,39,Private
28,Mindanao State University - Iligan Institute of Technology,Iligan,Overall,Overall,40,"Public-private
partnership"
29,University of the Philippines Baguio,Baguio,Overall,Overall,45,"Public-private
partnership"
